,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Enveloppes (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Filling Material,Administration,Stationeries & Office Supplies,Administration
,First Aid (Packing Material),Administration,Stationeries & Office Supplies,Administration
,IATA Package (Packing Material),Administration,Stationeries & Office Supplies,Administration
,"Medic Nuclear, Radiologi (Packing Material)",Administration,Stationeries & Office Supplies,Administration
,Plastic Bag (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Plastic packagings (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Security seal,Administration,Stationeries & Office Supplies,Administration
,Stationary Materia (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Strapping for packaging,Administration,Stationeries & Office Supplies,Administration
,Stratec Catalog (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Transport net,Administration,Stationeries & Office Supplies,Administration
,Trolley (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Trunks,Administration,Stationeries & Office Supplies,Administration
,Wooden Box,Administration,Stationeries & Office Supplies,Administration
,Wooden Palette,Administration,Stationeries & Office Supplies,Administration
,Wrapping machine f (Packing Material),Administration,Stationeries & Office Supplies,Administration
,Personal Items,Administration,Stationeries & Office Supplies,Administration
,Back Packs (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Books,Administration,Stationeries & Office Supplies,Administration
,Cigarettes,Administration,Stationeries & Office Supplies,Administration
,Clothes (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Cold Box (Personal Items),Administration,Stationeries & Office Supplies,Administration
,"Cream, body",Administration,Stationeries & Office Supplies,Administration
,Filters (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Flasks,Administration,Stationeries & Office Supplies,Administration
,Matches,Administration,Stationeries & Office Supplies,Administration
,"Medic Nuclear, Radiologi (Personal Items)",Administration,Stationeries & Office Supplies,Administration
,Money belt,Administration,Stationeries & Office Supplies,Administration
,Personal Protection Items (Personal Items),Administration,Stationeries & Office Supplies,Administration
,Radio cassette player,Administration,Stationeries & Office Supplies,Administration
,Radio FM receiver,Administration,Stationeries & Office Supplies,Administration
,Security service (Personal Items),Administration,Stationeries & Office Supplies,Administration
