,,,,
,Category Name,Category Group Name to use (in Procurement reports),Category Family Name to use (in Procurement reports),SPARK Item Category
,Financial services (Vouchers),Cash & Voucher,Voucher distributions,Cash & Voucher
,Food (Vouchers),Cash & Voucher,Voucher distributions,Cash & Voucher
,HouseHold (Vouchers),Cash & Voucher,Voucher distributions,Cash & Voucher
,Miscellanous Items (Vouchers),Cash & Voucher,Voucher distributions,Cash & Voucher
,Tools (Vouchers),Cash & Voucher,Voucher distributions,Cash & Voucher
,Emergency Response Units,Relief,Other Relief Items,Relief
,Administration (Emergency Response Units),Relief,Other Relief Items,Relief
,Personal field kit,Relief,Other Relief Items,Relief
,Engineering (Emergency Response Units),Relief,Other Relief Items,Relief
,Electricity (Engineering (Emergency Response Units)),Relief,Other Relief Items,Relief
,Logistic (Emergency Response Units),Relief,Other Relief Items,Relief
,Logis Base camp,Relief,Other Relief Items,Relief
,Logistics,Relief,Other Relief Items,Relief
,Medical / Health (Emergency Response Units),Relief,Other Relief Items,Relief
,Basic health care unit,Relief,Other Relief Items,Relief
,Hospital,Relief,Other Relief Items,Relief
,"Kit, Reproductive Health (Medical / Health (Emergency Response Units))",Relief,Other Relief Items,Relief
,Rapid deploy. emerg. Hospital,Relief,Other Relief Items,Relief
,Medical Surgical Instr (Emergency Response Units),Relief,Other Relief Items,Relief
,Set Amputation (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Bone Surgery (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Caesarian,Relief,Other Relief Items,Relief
,Set Craniotomy (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Dental Extraction (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Estra Set,Relief,Other Relief Items,Relief
,Set External Fixation (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Fine Surgery (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Gyneacology (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Laparotomy (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Plaster (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Skeletal Traction (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Sutures (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Thoracotomy (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,Set Tracheotomy,Relief,Other Relief Items,Relief
,Set Wound Excision (Medical Surgical Instr (Emergency Response Units)),Relief,Other Relief Items,Relief
,"Set, abscess",Relief,Other Relief Items,Relief
,Relief (Emergency Response Units),Relief,Other Relief Items,Relief
,Relief,Relief,Other Relief Items,Relief
,Telecom (Emergency Response Units),Relief,Other Relief Items,Relief
,Personal communication kit,Relief,Other Relief Items,Relief
,Repair Telecm (Telecom (Emergency Response Units)),Relief,Other Relief Items,Relief
,Water and Sanitation (Emergency Response Units),Relief,Other Relief Items,Relief
,M15 module,Relief,Other Relief Items,Relief
,M40 module,Relief,Other Relief Items,Relief
,Mass sanitation module,Relief,Other Relief Items,Relief
,UWAT,Relief,Other Relief Items,Relief
,Water and sanitation (Water and Sanitation (Emergency Response Units)),Relief,Other Relief Items,Relief
,Engineering,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Appliances (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Washing machines for garage (Appliances (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Building Electrical,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Blanking plate,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cable gland,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Changeover switc,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Circuit breaker,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Contactor,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Control Relays,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Distribution boa,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Earthing and lig,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Electrical Connectors (Building Electrical),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Fuses (Building Electrical),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Heat shrink tube,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Junction box, su","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lamp (Building Electrical),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lightning and su,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Mobile power dis,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Mounting box for,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Plug, electrical (Building Electrical)","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Rail,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Residual current,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Signal lamp,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sockets Electrical (Building Electrical),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Switches (Building Electrical),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Thermal motor pr,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Building/Construction (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Bitumen,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Bricks,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cement (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cold Room,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Colouring counpoun,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Concrete additives,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Concrete beams,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Doors & Doorframes,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Glass for Windows,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Gravel,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Gutters and access,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Insulating materia (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Iron For Construction,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lady Nylon Stockings,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lime (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Manhole covers,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Mattings (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Moulds for concret,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Paint (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Plaster of Paris (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Plastering materia,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Post,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Putty mastic,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sanding equipment and materials (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sheet for building,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Shutters,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tiles For Construction,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Vibrator for concr (Building/Construction (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Window,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wiremesh,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wood board,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wood For Construction,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Electric Supplies,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Battery (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cables (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Electric Cables,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Electrical Connectors (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Electricity (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Extension cord,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Fuses (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Inverters (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,LAMP (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lamp fixed indoor,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lamp fixed outdoor,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lamp mobile indoor,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lamp mobile outdoo,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Light Bulbs (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lubricants (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Multimeter (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Online UPS,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Overvoltage Protec,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Plug, electrical (Electric Supplies)","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Power cord,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Pumps, Submersible Various (Electric Supplies)","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sockets Electrical (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Solar battery (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Solar panels and spare parts (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Switches (Electric Supplies),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Torch lamp,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Torch lamp chargea,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Torch lamp frontal,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Transformer,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Voltage stabilizer,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Forensic (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Compass (Forensic (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Level (Forensic (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring (Forensic (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tools (Forensic (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Generators/Powersupply,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Control panel,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Diesel Generator (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Generators Zordan,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Honda (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Honda Spareparts,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Lombardini (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Lombardini Spare parts,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Miscellanous Items (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Petrol generator (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Water turbine,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Welding (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Yamaha (Generators/Powersupply),"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Zordan Spare Parts,"Construction, Engineering",Generators/Powersupply,"Construction, Engineering"
,Hardware /Engineering (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Band Clips,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Bolt, Alen cylindrical head","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Bolt, stainless steel","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Bolts (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Brushes (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cables (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Chairs (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Clips (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Fastening clamp,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Gasket,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Glues (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Hinge,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Hooks (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Insulating materia (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Light Bulbs (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Locks,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lubricants (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Nails (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Nuts (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Paint (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Patches for inner tube,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pump for air (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Rawl Plug,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Rivets (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sanding equipment (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Screws,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Seals and Sealing Material (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Shackles,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Steel wool,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Stratec Catalog (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Thinner (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tie wrap,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tools (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Twisting Plier,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Var. Hardware F. Construction,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Washers (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Welding (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wire (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wire rope,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wrapping machine f (Hardware /Engineering (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Machines & Engines (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Air Compressors (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Backhoe,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Band Saws,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cleaning machine,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cleaning Materials (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Concrete mixer,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Cutting Instruments (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Drilling machine or instrument (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Engineering (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Glue gun,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Grinding Machines (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Hydraulic press,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Level (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Lift for garage,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Planner tool,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pneumatic powered tools,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Puller (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pump for fuels (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Router tool (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Sanding equipment (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Saws (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Soldering (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Strapping machine,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Tyre workshop machines,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Washing machines for garage (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Welding (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wheel alignment tool,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Wrapping machine f (Machines & Engines (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring & Marking (Engineering),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Altimeter,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Anemometer (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Chronometer (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Compass (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Energy (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Food (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Hygrometer,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Laser Printers (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Level (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Locator (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring board (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Measuring tape,"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,"Medic Nuclear, Radiologi (Measuring & Marking (Engineering))","Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Metal worker measuring tools (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Miscellanous Items (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Multimeter (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
,Pressure (Measuring & Marking (Engineering)),"Construction, Engineering",Engineering (Building/Building Electrical/Construction/Engineering Items),"Construction, Engineering"
